Conv0 active,Conv0 num filters,Conv0 batch normalization,Conv0 activation,Conv0 dropout,Conv0 max pooling,Conv1 active,Conv1 num filters,Conv1 batch normalization,Conv1 activation,Conv1 dropout,Conv1 max pooling,Conv2 active,Conv2 num filters,Conv2 batch normalization,Conv2 activation,Conv2 dropout,Conv2 max pooling,Conv3 active,Conv3 num filters,Conv3 batch normalization,Conv3 activation,Conv3 dropout,Conv3 max pooling,Dense0 active,Dense0 num nodes,Dense0 batch normalization,Dense0 activation,Dense0 dropout,Optimizer,Val Loss,Val Accuracy
1,16,1,0,10,1,1,8,0,0,1,2,1,64,0,1,7,0,1,32,0,1,10,1,0,256,0,1,9,3,0.11696695537,0.9764
1,16,0,0,4,1,1,16,0,0,7,2,1,64,0,1,2,0,1,32,0,1,10,1,1,256,0,1,6,0,0.0506711137597,0.9837
1,64,0,0,2,2,1,16,1,0,1,1,1,16,1,1,5,2,1,64,0,0,2,0,1,256,1,1,7,0,0.029477273607,0.9913
1,32,0,0,0,0,1,32,0,1,0,1,1,64,1,0,1,2,0,64,1,0,1,0,0,1024,0,1,1,0,0.118494463817,0.9648
1,32,0,0,0,0,1,32,0,1,5,2,0,8,0,0,3,2,0,64,1,0,8,1,1,256,1,1,7,0,0.0495804096682,0.9845
1,16,1,0,2,2,1,16,0,1,8,1,1,8,1,0,1,2,0,64,1,0,1,0,0,1024,0,1,6,0,0.0723368797943,0.9807
1,64,0,0,2,2,1,64,0,0,4,1,1,16,1,0,7,2,1,32,1,0,0,2,1,16,1,1,6,0,0.0303717837214,0.992
1,64,0,0,2,1,0,8,0,0,4,1,0,32,1,0,4,2,1,16,1,0,0,2,1,16,1,1,6,1,0.0898290465966,0.9797
1,32,1,0,10,1,1,8,1,1,0,1,1,16,0,0,6,2,0,64,0,1,6,0,1,256,1,1,7,0,0.0600120213028,0.9822
1,32,0,0,4,1,1,16,0,1,7,2,1,16,0,1,6,2,1,16,1,0,0,2,1,16,1,1,6,1,0.0586936905503,0.9817
1,16,1,0,2,2,1,16,0,1,8,1,1,8,1,1,1,2,0,8,1,1,10,1,0,256,0,1,3,1,0.268004851431,0.9052
1,16,1,0,2,2,1,16,0,1,8,1,1,8,1,1,1,2,0,64,0,1,6,1,0,128,0,1,1,0,0.147385525262,0.9557
1,32,0,0,1,2,0,16,0,1,7,1,0,16,1,0,6,0,1,8,1,1,10,0,1,256,1,1,7,0,0.0431491994054,0.9861
1,64,0,0,2,0,1,32,0,1,5,2,0,8,0,0,3,2,0,64,1,0,8,1,1,64,1,1,3,3,0.0580903130691,0.9818
1,8,0,0,1,2,0,16,0,1,7,2,0,8,0,0,3,2,0,64,1,0,8,1,1,64,1,1,3,3,0.0679858329676,0.9796
1,32,0,0,4,2,0,16,0,1,7,1,0,32,1,0,4,2,0,64,1,1,6,1,0,128,1,1,4,1,0.0674709612615,0.9809
1,16,0,0,4,1,1,16,0,0,7,2,1,64,0,1,2,0,1,32,0,1,10,1,0,256,0,1,3,3,0.10620823929,0.9745
1,32,1,0,10,1,1,8,1,1,0,1,1,8,0,1,6,2,0,64,0,1,6,1,0,128,1,1,4,1,1.53378791847,0.5857
1,16,0,0,2,2,1,64,0,0,4,1,1,16,1,0,7,2,1,16,1,0,0,2,1,16,1,1,6,0,0.0365627139736,0.9904
1,32,0,1,5,2,0,8,0,0,1,2,1,32,0,1,0,0,1,8,1,1,10,0,1,256,1,1,7,0,0.103149160867,0.9684
1,64,0,0,2,1,0,8,0,0,4,1,0,32,1,0,4,2,1,16,1,0,0,2,1,16,1,1,6,1,0.182221502332,0.9746
1,16,1,0,2,2,1,16,0,1,8,1,1,8,1,0,1,2,0,64,1,0,1,0,0,1024,0,1,6,0,0.0474287766628,0.9882
1,16,1,0,2,2,1,64,0,0,4,1,1,16,1,0,7,2,1,32,1,1,0,2,1,16,1,1,6,0,0.0336285283934,0.9909
1,64,0,0,2,2,1,64,0,0,4,1,1,16,1,0,7,2,1,32,1,0,0,2,1,256,1,1,7,0,0.0205966874156,0.9942
1,16,1,0,10,1,1,8,0,0,1,2,1,64,0,1,7,0,1,32,0,1,10,1,0,256,0,1,3,1,0.0489168786131,0.9871
1,32,0,0,4,1,1,16,0,1,7,2,1,16,0,1,6,2,1,16,1,0,0,2,1,16,1,1,6,1,0.0559086190108,0.9841
1,8,0,0,1,2,0,16,0,1,7,2,0,8,0,0,3,2,0,64,1,0,8,1,1,256,1,1,7,0,0.0572053447213,0.9823
1,16,1,0,2,2,1,16,0,1,8,1,1,8,1,1,3,2,0,64,1,0,8,1,1,64,1,1,3,3,0.0826217739642,0.978
1,16,0,0,4,1,1,16,0,0,7,2,1,64,0,0,3,2,0,64,1,0,8,1,1,64,1,1,3,3,0.0505380862609,0.9892
1,64,0,0,2,1,0,8,0,0,4,1,1,8,1,1,1,2,0,64,0,1,6,1,0,128,0,1,1,0,0.0546982090317,0.9828
1,16,0,0,2,2,1,64,0,0,4,1,1,16,1,0,3,2,0,64,1,0,8,1,1,256,1,1,7,0,0.0252730169619,0.992
1,32,0,0,4,2,0,16,0,1,5,2,0,8,0,0,3,2,0,64,1,0,8,1,1,64,1,1,7,0,0.0472310632886,0.9852
1,32,0,0,4,1,1,64,0,1,5,2,0,8,0,0,3,2,0,64,1,0,8,1,1,256,1,1,7,0,0.0428755385634,0.9854
1,16,1,0,10,1,1,8,0,0,1,2,1,64,0,1,7,0,1,32,0,1,10,1,0,256,0,1,9,3,0.1071934001,0.9767
1,32,0,0,4,2,0,16,0,1,0,1,1,64,1,0,1,2,0,64,1,0,1,0,0,1024,0,1,1,0,0.0988925496065,0.971
1,32,0,0,4,1,1,16,0,1,7,2,1,64,1,1,1,2,0,8,1,1,10,1,0,256,0,1,3,1,14.5385218414,0.098
1,16,1,0,2,2,1,16,0,1,8,1,1,16,1,0,7,2,1,16,1,0,0,2,1,256,1,1,6,0,0.0795444861446,0.9742
1,64,0,0,2,2,1,16,1,0,1,1,1,16,1,1,5,2,1,64,0,0,2,0,1,256,1,0,6,0,0.030484348175,0.9902
1,16,1,0,10,1,1,8,0,0,1,2,1,64,0,1,7,2,0,64,1,1,6,1,0,128,1,1,4,1,0.09450995,0.9726
1,16,1,0,10,1,1,32,0,0,1,0,1,64,0,1,7,0,1,32,0,1,10,1,0,256,0,1,9,3,0.110282010013,0.979
1,16,1,0,10,1,1,8,0,0,1,2,1,64,0,1,9,0,1,32,0,1,10,1,0,256,0,1,9,3,0.127849421114,0.976
1,16,1,0,2,2,1,8,0,1,8,1,1,16,1,0,7,0,1,16,1,0,0,2,1,16,1,1,6,1,0.336832522535,0.9695
1,16,1,0,2,1,1,32,0,0,1,0,1,64,0,1,7,0,1,32,0,1,10,1,0,256,0,1,9,3,0.102726175594,0.9761
1,8,0,0,1,2,0,16,0,1,7,2,0,8,0,0,3,2,0,64,1,0,8,1,1,256,1,1,7,0,0.0593295099971,0.9806
1,32,0,0,4,2,0,16,0,1,0,1,1,64,1,0,7,2,1,32,1,0,0,2,1,256,1,1,7,0,0.0349130735873,0.989
1,32,1,0,4,1,1,16,0,1,7,2,1,16,0,1,6,2,1,16,1,0,0,0,1,16,1,1,6,1,0.0547270160828,0.9873
1,64,0,0,2,2,1,64,0,0,4,1,1,16,1,0,7,0,1,32,0,1,10,1,0,256,0,1,9,3,0.0956437759072,0.9838
1,32,0,0,4,2,0,16,0,1,0,1,0,64,1,0,1,2,0,64,1,0,1,0,0,1024,0,1,1,0,0.0654343073499,0.979
1,64,0,0,2,1,0,8,0,0,4,1,0,32,1,0,4,2,1,16,1,0,0,2,1,16,1,1,6,0,0.0405102194875,0.9885
1,16,1,0,6,2,1,16,0,1,8,1,1,8,1,1,3,2,1,32,0,1,10,1,0,256,0,1,3,1,0.444459436131,0.9532
1,16,1,0,2,2,1,16,0,1,8,1,1,8,1,0,1,2,0,64,1,0,1,0,0,1024,0,1,1,0,0.0679232599281,0.9822
1,16,1,0,4,1,1,8,0,0,1,2,1,64,0,1,7,0,1,32,0,1,10,1,0,256,0,1,3,1,0.0446287956662,0.9876
1,64,0,0,2,1,0,8,0,0,4,1,0,32,1,0,4,2,1,16,1,0,0,2,1,16,1,1,3,3,0.0617523977518,0.9873
1,64,0,0,2,2,1,64,0,0,4,1,1,16,1,0,7,2,1,32,1,0,0,2,1,16,1,1,6,1,0.0548941850141,0.9886
1,64,0,0,2,1,0,8,0,0,4,1,0,32,1,0,4,2,1,16,1,0,1,0,0,1024,0,1,1,0,0.0426441354976,0.9862
1,16,1,0,10,1,1,8,0,0,1,2,1,8,0,0,1,2,0,64,1,0,1,0,0,1024,0,1,6,0,0.0501432069462,0.9864
1,32,0,0,4,1,1,64,0,1,5,2,0,8,0,0,3,2,0,64,1,0,8,1,1,256,1,1,7,0,0.0369982718179,0.9875
1,32,0,0,4,1,1,16,0,0,7,2,1,64,0,0,3,2,0,64,1,0,8,1,1,64,1,1,3,3,0.0513986021787,0.9898
1,64,0,0,2,2,1,64,0,0,4,1,1,16,1,0,7,2,1,8,1,1,0,2,1,256,1,1,7,0,0.0322427990932,0.9892
1,64,0,0,2,1,0,8,0,0,4,1,0,32,1,0,4,2,1,16,1,0,0,2,1,16,1,1,0,1,0.0409555920266,0.9877
1,16,1,0,10,1,1,8,0,0,1,2,1,64,0,1,9,0,1,16,1,0,0,2,1,16,1,1,6,0,0.0427612739585,0.99
1,32,0,0,4,2,0,16,0,1,0,1,0,64,1,0,1,2,0,64,1,0,1,0,0,1024,0,1,6,0,0.0609657188758,0.9818
1,64,0,0,2,2,1,64,0,0,4,1,1,16,1,0,4,2,1,16,1,0,0,2,1,16,1,1,3,3,0.0573491656691,0.9892
1,64,0,0,3,2,1,64,0,0,4,1,1,16,1,0,7,2,1,8,1,1,0,2,1,256,1,1,3,3,0.0408521093307,0.9868
1,64,0,0,2,1,0,8,0,0,4,1,0,32,1,0,4,2,1,16,1,0,0,2,1,16,1,1,6,0,0.0551023505129,0.9839
1,64,0,0,2,1,0,8,0,0,4,1,0,32,1,0,4,2,1,16,1,0,0,2,1,16,1,1,7,0,0.0381527898796,0.9897
1,16,1,0,4,1,1,8,0,0,1,2,1,64,0,0,3,2,0,64,1,0,8,1,1,64,1,1,7,3,0.0516658374742,0.9904
1,32,1,0,4,1,1,16,0,1,7,2,1,16,0,1,1,2,1,16,1,1,0,2,0,256,1,1,7,0,0.0589986087595,0.9813
1,64,0,0,8,2,1,64,0,0,4,1,1,16,1,0,7,2,1,64,1,0,8,1,1,64,1,1,3,3,0.154060023212,0.9752
1,64,0,0,2,2,0,64,0,0,4,1,1,16,1,0,7,0,1,32,0,1,10,1,0,256,0,1,9,1,0.0390430836559,0.9871
1,16,1,0,4,1,1,16,0,0,7,2,1,64,0,0,3,2,0,64,1,0,8,1,1,64,1,1,3,3,0.0566696375951,0.9894
1,8,1,0,2,2,1,8,0,1,8,1,1,16,1,0,7,0,1,16,1,0,0,1,1,256,1,1,7,0,0.179048969916,0.9479
1,64,0,0,2,2,1,64,0,0,4,1,0,32,1,0,4,2,1,16,1,0,0,2,1,16,1,1,3,3,0.0502869534031,0.9897
1,64,0,0,2,1,1,16,0,1,7,2,1,16,0,1,6,2,1,16,1,0,0,0,1,16,0,1,6,0,0.0638520000577,0.9832
1,16,1,0,2,1,1,32,0,0,1,2,0,32,1,0,4,2,1,16,0,0,0,2,1,16,1,1,3,3,0.067223749277,0.989
1,32,0,0,4,2,0,16,0,1,0,1,0,64,1,0,1,2,0,64,1,0,0,0,1,16,1,1,6,1,0.0906688073445,0.9732
1,32,0,0,4,2,0,16,0,1,0,1,1,64,1,0,4,2,1,16,1,0,0,2,1,16,1,1,6,0,0.0403257264759,0.9884
1,64,0,0,2,2,1,64,0,0,4,1,1,16,1,0,7,2,1,8,1,1,0,2,1,256,1,1,7,0,0.0289884350158,0.9891
1,16,1,0,2,2,1,16,0,1,0,1,0,64,1,0,1,2,0,64,1,0,1,0,0,1024,0,1,1,0,0.049087029066,0.9817
1,16,1,0,10,1,1,8,0,0,1,2,1,64,0,1,9,0,1,32,0,1,10,1,0,256,0,1,9,3,0.117425316054,0.9758
1,32,1,0,4,1,1,16,0,1,7,2,1,64,0,0,3,2,0,64,1,0,8,1,1,64,1,1,3,3,0.0503635349542,0.9899
1,64,0,0,8,2,1,64,0,0,4,1,1,16,1,0,7,0,1,32,0,1,10,1,0,256,0,1,9,1,0.0469697945736,0.9882
1,16,0,0,2,2,1,64,0,0,4,1,1,16,1,0,4,2,0,16,1,0,0,2,1,16,1,1,3,3,0.068527616781,0.9884
