Conv0 active,Conv0 num filters,Conv0 batch normalization,Conv0 activation,Conv0 dropout,Conv0 max pooling,Conv1 active,Conv1 num filters,Conv1 batch normalization,Conv1 activation,Conv1 dropout,Conv1 max pooling,Conv2 active,Conv2 num filters,Conv2 batch normalization,Conv2 activation,Conv2 dropout,Conv2 max pooling,Dense0 active,Dense0 num nodes,Dense0 batch normalization,Dense0 activation,Dense0 dropout,Optimizer,Val Loss,Val Accuracy
1,8,0,0,0,0,0,32,0,0,0,1,1,16,0,0,0,2,1,64,0,0,0,1,2.30265927124,0.1028
1,8,0,0,0,2,1,64,0,0,0,1,1,32,0,0,0,1,1,16,0,0,0,0,0.0717787285581,0.9809
1,16,0,0,0,2,0,32,0,0,0,0,1,32,0,0,0,1,1,128,0,0,0,2,2.30141662178,0.1135
1,16,0,0,0,1,1,64,0,0,0,1,0,32,0,0,0,2,0,256,0,0,0,1,0.0884380085623,0.9722
1,64,0,0,0,1,0,8,0,0,0,1,0,8,0,0,0,1,1,1024,0,0,0,2,6.21028162079,0.1009
1,16,0,0,0,2,1,64,0,0,0,2,1,8,0,0,0,2,0,64,0,0,0,2,2.29464248276,0.1135
1,8,0,0,0,2,0,8,0,0,0,0,0,64,0,0,0,2,1,1024,0,0,0,2,7.52379251251,0.1135
1,16,0,0,0,0,0,32,0,0,0,1,0,16,0,0,0,1,1,512,0,0,0,1,0.310972157413,0.9064
1,64,0,0,0,2,1,32,0,0,0,1,1,16,0,0,0,0,0,128,0,0,0,2,2.30095419693,0.1135
1,64,0,0,0,1,0,8,0,0,0,0,0,32,0,0,0,2,0,16,0,0,0,3,0.375196685976,0.8856
1,16,0,0,0,1,1,64,0,0,0,1,0,32,0,0,0,2,0,256,0,0,0,1,0.0772802533543,0.9746
1,16,0,0,0,2,1,64,0,0,0,1,1,32,0,0,0,1,1,16,0,0,0,0,0.0590080187663,0.9834
1,8,0,0,0,2,1,64,0,0,0,1,1,32,0,0,0,1,1,64,0,0,0,0,0.0762406794373,0.9761
1,16,0,0,0,1,0,32,0,0,0,1,0,16,0,0,0,1,1,512,0,0,0,3,0.18749841364,0.9424
1,16,0,0,0,1,1,64,0,0,0,1,0,32,0,0,0,2,0,256,0,0,0,1,0.0750599747438,0.9767
1,16,0,0,0,1,1,64,0,0,0,1,0,32,0,0,0,2,0,16,0,0,0,3,0.17221115586,0.9508
1,8,0,0,0,2,1,64,0,0,0,1,1,32,0,0,0,1,1,16,0,0,0,0,0.0734819811895,0.9799
1,64,0,0,0,0,0,32,0,0,0,1,0,16,0,0,0,1,1,512,0,0,0,1,2.34590195847,0.1135
1,16,0,0,0,0,0,32,0,0,0,1,0,16,0,0,0,1,1,512,0,0,0,1,0.272090955514,0.9191
1,8,0,0,0,0,0,32,0,0,0,1,1,16,0,0,0,2,1,64,0,0,0,1,1.33593736935,0.6384
1,16,0,0,0,0,0,32,0,0,0,1,0,16,0,0,0,2,0,256,0,0,0,1,14.5739816513,0.0958
1,8,0,0,0,0,0,32,0,0,0,1,1,16,0,0,0,2,0,16,0,0,0,3,0.232585810059,0.9324
1,16,0,0,0,1,1,64,0,0,0,1,0,32,0,0,0,2,0,256,0,0,0,1,0.079829978286,0.9749
1,8,0,0,0,0,0,32,0,0,0,1,1,16,0,0,0,2,1,64,0,0,0,1,2.30323047943,0.1135
1,8,0,0,0,2,1,64,0,0,0,1,1,32,0,0,0,1,1,64,0,0,0,0,0.0796512062311,0.9762
1,16,0,0,0,1,1,64,0,0,0,1,0,32,0,0,0,2,0,16,0,0,0,3,0.172372798359,0.9529
1,16,0,0,0,2,1,64,0,0,0,1,1,32,0,0,0,1,1,16,0,0,0,0,0.080256069161,0.9786
1,16,0,0,0,1,1,64,0,0,0,1,0,16,0,0,0,1,1,512,0,0,0,3,0.152439914446,0.9554
1,16,0,0,0,1,0,32,0,0,0,1,0,16,0,0,0,1,1,512,0,0,0,3,0.184187102455,0.9436
1,16,0,0,0,1,1,64,0,0,0,1,0,32,0,0,0,2,0,256,0,0,0,1,0.077932236184,0.9749
1,16,0,0,0,1,1,64,0,0,0,1,0,32,0,0,0,2,0,256,0,0,0,3,0.153432282349,0.9565
1,16,0,0,0,1,1,64,0,0,0,1,1,32,0,0,0,1,1,64,0,0,0,0,0.0771356248252,0.9761
1,16,0,0,0,1,1,64,0,0,0,1,0,16,0,0,0,1,1,512,0,0,0,3,0.114231291415,0.9661
1,16,0,0,0,1,0,32,0,0,0,1,0,16,0,0,0,1,1,512,0,0,0,3,0.198003606607,0.938
1,16,0,0,0,2,1,64,0,0,0,1,1,16,0,0,0,1,1,512,0,0,0,3,2.31430108261,0.1135
1,16,0,0,0,1,0,32,0,0,0,1,0,16,0,0,0,1,1,512,0,0,0,3,0.189590195966,0.9405
1,16,0,0,0,2,1,64,0,0,0,1,0,16,0,0,0,1,1,512,0,0,0,3,0.375210579014,0.8864
1,16,0,0,0,1,1,64,0,0,0,1,0,32,0,0,0,2,0,64,0,0,0,0,0.0820868304908,0.9741
1,16,0,0,0,1,1,64,0,0,0,1,0,16,0,0,0,1,0,512,0,0,0,3,0.152033541505,0.9549
1,16,0,0,0,0,0,32,0,0,0,1,0,16,0,0,0,2,0,256,0,0,0,1,14.490167601,0.101
1,16,0,0,0,1,1,64,0,0,0,1,1,32,0,0,0,1,1,512,0,0,0,3,0.373882520986,0.8907
1,16,0,0,0,1,0,64,0,0,0,1,0,32,0,0,0,2,0,64,0,0,0,0,0.229293761921,0.937
1,16,0,0,0,1,1,64,0,0,0,1,0,16,0,0,0,1,0,512,0,0,0,3,0.150765006599,0.9572
1,16,0,0,0,1,0,32,0,0,0,1,0,16,0,0,0,1,1,512,0,0,0,3,0.195886095962,0.9404
1,16,0,0,0,1,0,32,0,0,0,1,0,16,0,0,0,1,1,512,0,0,0,3,0.241356628573,0.9238
1,16,0,0,0,1,1,64,0,0,0,1,0,32,0,0,0,2,0,64,0,0,0,0,0.0837161851991,0.9735
1,16,0,0,0,1,1,64,0,0,0,1,0,32,0,0,0,2,1,512,0,0,0,3,0.124949544644,0.9636
1,16,0,0,0,1,1,64,0,0,0,1,0,16,0,0,0,1,1,512,0,0,0,3,0.107962414837,0.9679
1,16,0,0,0,1,1,64,0,0,0,1,0,32,0,0,0,2,0,256,0,0,0,3,0.166059055954,0.9543
1,16,0,0,0,1,1,64,0,0,0,1,0,32,0,0,0,2,0,256,0,0,0,3,0.176042529774,0.9489
1,16,0,0,0,1,0,64,0,0,0,1,0,32,0,0,0,2,0,64,0,0,0,0,0.221489718018,0.9369
1,16,0,0,0,1,1,64,0,0,0,1,0,16,0,0,0,1,0,512,0,0,0,3,0.175214954332,0.9492
1,16,0,0,0,1,1,64,0,0,0,1,0,16,0,0,0,2,0,256,0,0,0,3,0.166427688055,0.9496
1,16,0,0,0,1,1,64,0,0,0,1,0,16,0,0,0,1,1,512,0,0,0,3,0.140371814688,0.9563
1,16,0,0,0,1,1,64,0,0,0,1,0,32,0,0,0,2,0,64,0,0,0,0,0.0703295086976,0.9773
1,16,0,0,0,1,1,64,0,0,0,1,0,32,0,0,0,2,0,64,0,0,0,0,0.0764473212272,0.9756
1,16,0,0,0,1,1,64,0,0,0,1,0,32,0,0,0,2,1,512,0,0,0,3,0.145578697209,0.9544
1,16,0,0,0,1,1,64,0,0,0,1,0,32,0,0,0,2,1,512,0,0,0,3,0.197341001466,0.9422
1,16,0,0,0,1,1,64,0,0,0,1,0,32,0,0,0,2,1,256,0,0,0,3,0.137771908969,0.9557
1,16,0,0,0,1,1,64,0,0,0,1,1,32,0,0,0,1,1,512,0,0,0,3,2.2891201683,0.1132
1,16,0,0,0,1,1,64,0,0,0,1,0,16,0,0,0,1,1,512,0,0,0,0,0.0589501188722,0.9802
1,16,0,0,0,1,1,64,0,0,0,1,0,16,0,0,0,2,0,256,0,0,0,3,0.177497394691,0.9423
1,16,0,0,0,1,1,64,0,0,0,1,0,32,0,0,0,2,1,512,0,0,0,3,0.154249438991,0.9521
1,16,0,0,0,1,1,64,0,0,0,1,0,16,0,0,0,1,0,512,0,0,0,3,0.168284678875,0.9482
1,16,0,0,0,1,1,8,0,0,0,1,0,16,0,0,0,1,0,512,0,0,0,3,0.285207236099,0.9197
1,16,0,0,0,1,0,64,0,0,0,1,0,32,0,0,0,2,0,64,0,0,0,0,0.246655463721,0.9274
1,16,0,0,0,1,0,64,0,0,0,1,0,16,0,0,0,2,0,256,0,0,0,3,0.285250572509,0.9162
1,16,0,0,0,1,1,64,0,0,0,1,0,32,0,0,0,2,0,64,0,0,0,0,0.0782464204621,0.9752
1,16,0,0,0,1,1,64,0,0,0,1,0,16,0,0,0,1,0,512,0,0,0,3,0.176788906655,0.9481
1,16,0,0,0,1,0,64,0,0,0,1,0,32,0,0,0,2,0,64,0,0,0,0,0.244312370357,0.9313
1,16,0,0,0,1,1,64,0,0,0,1,0,16,0,0,0,1,1,512,0,0,0,0,0.0568903515449,0.981
1,16,0,0,0,1,1,8,0,0,0,0,0,16,0,0,0,1,0,512,0,0,0,3,0.256578994882,0.9262
1,64,0,0,0,1,1,64,0,0,0,1,0,16,0,0,0,1,1,512,0,0,0,0,0.0575164900865,0.981
1,16,0,0,0,1,1,64,0,0,0,1,0,16,0,0,0,1,0,512,0,0,0,3,0.167398173945,0.9509
1,16,0,0,0,1,1,64,0,0,0,1,0,32,0,0,0,2,0,512,0,0,0,3,0.165436671424,0.9518
1,16,0,0,0,1,1,64,0,0,0,1,0,32,0,0,0,2,0,64,0,0,0,1,0.0862976028217,0.9724
1,16,0,0,0,1,1,64,0,0,0,1,0,32,0,0,0,2,1,512,0,0,0,3,0.119650946875,0.9631
1,16,0,0,0,1,1,64,0,0,0,0,0,32,0,0,0,2,0,64,0,0,0,0,0.0850037744381,0.9731
