Conv0 active,Conv0 num filters,Conv0 batch normalization,Conv0 activation,Conv0 dropout,Conv0 max pooling,Conv1 active,Conv1 num filters,Conv1 batch normalization,Conv1 activation,Conv1 dropout,Conv1 max pooling,Conv2 active,Conv2 num filters,Conv2 batch normalization,Conv2 activation,Conv2 dropout,Conv2 max pooling,Dense0 active,Dense0 num nodes,Dense0 batch normalization,Dense0 activation,Dense0 dropout,Optimizer,Val Loss,Val Accuracy
1,16,0,0,0,1,1,32,0,0,0,1,0,8,0,0,0,1,1,1024,0,0,0,2,0.0303969786902,0.9901
1,16,0,0,0,1,0,64,0,0,0,2,1,64,0,0,0,0,0,256,0,0,0,3,0.054175984105,0.9824
1,32,0,0,0,1,1,8,0,0,0,1,0,16,0,0,0,0,0,64,0,0,0,3,0.0900874429595,0.9723
1,8,0,0,0,1,0,8,0,0,0,0,0,64,0,0,0,2,0,256,0,0,0,3,0.206138950239,0.9396
1,64,0,0,0,2,0,16,0,0,0,1,0,8,0,0,0,1,1,64,0,0,0,2,0.048838964564,0.9838
1,16,0,0,0,2,0,16,0,0,0,2,1,32,0,0,0,1,1,1024,0,0,0,1,0.0477204901855,0.9865
1,32,0,0,0,2,1,64,0,0,0,2,1,16,0,0,0,1,1,256,0,0,0,3,0.0306070992148,0.9902
1,32,0,0,0,2,0,8,0,0,0,2,0,64,0,0,0,0,1,16,0,0,0,2,0.0949630915795,0.9724
1,8,0,0,0,2,1,16,0,0,0,0,0,16,0,0,0,2,0,512,0,0,0,3,0.0602014188954,0.9805
1,32,0,0,0,0,1,64,0,0,0,0,1,32,0,0,0,2,1,32,0,0,0,3,0.0416229006912,0.9867
1,32,0,0,0,2,1,32,0,0,0,0,1,16,0,0,0,1,1,256,0,0,0,3,0.0289654234219,0.9903
1,16,0,0,0,2,0,8,0,0,0,1,0,16,0,0,0,0,0,64,0,0,0,3,0.108257991558,0.9698
1,16,0,0,0,1,0,64,0,0,0,2,1,64,0,0,0,0,0,256,0,0,0,2,0.0397731311936,0.9867
1,64,0,0,0,2,0,16,0,0,0,2,1,16,0,0,0,1,1,256,0,0,0,3,0.0353522764357,0.9889
1,32,0,0,0,0,1,64,0,0,0,0,1,64,0,0,0,2,0,512,0,0,0,3,0.033434308342,0.9891
1,64,0,0,0,1,0,64,0,0,0,2,1,64,0,0,0,0,0,256,0,0,0,3,0.0443805125521,0.9849
1,32,0,0,0,0,1,64,0,0,0,0,1,32,0,0,0,2,1,32,0,0,0,3,0.033201056928,0.9895
1,32,0,0,0,2,1,64,0,0,0,2,1,16,0,0,0,1,1,256,0,0,0,3,0.0320861816111,0.9893
1,16,0,0,0,2,0,16,0,0,0,2,1,32,0,0,0,1,1,1024,0,0,0,1,0.0388282860661,0.9886
1,16,0,0,0,1,1,32,0,0,0,1,0,8,0,0,0,1,1,1024,0,0,0,2,0.028744535133,0.9898
1,32,0,0,0,0,1,64,0,0,0,0,1,32,0,0,0,2,1,32,0,0,0,3,0.0371363464851,0.9885
1,16,0,0,0,1,1,32,0,0,0,1,0,8,0,0,0,0,0,256,0,0,0,3,0.0611783856184,0.9804
1,16,0,0,0,0,1,64,0,0,0,0,1,64,0,0,0,2,0,512,0,0,0,0,0.0393042703911,0.9866
1,32,0,0,0,2,1,32,0,0,0,2,1,64,0,0,0,0,0,256,0,0,0,3,0.0358067114024,0.9877
1,16,0,0,0,1,0,64,0,0,0,2,1,64,0,0,0,0,0,256,0,0,0,2,0.0383239583489,0.9867
1,32,0,0,0,2,1,32,0,0,0,2,1,32,0,0,0,1,1,1024,0,0,0,1,0.0517783440891,0.9864
1,64,0,0,0,2,0,16,0,0,0,2,1,16,0,0,0,1,1,128,0,0,0,3,0.0382182524955,0.9874
1,32,0,0,0,2,0,16,0,0,0,2,1,32,0,0,0,1,1,1024,0,0,0,1,0.0381564957586,0.9897
1,64,0,0,0,2,0,16,0,0,0,2,1,64,0,0,0,0,0,256,0,0,0,3,0.0438081560877,0.9855
1,32,0,0,0,0,0,32,0,0,0,0,1,16,0,0,0,1,1,256,0,0,0,3,0.0348052487225,0.9884
1,16,0,0,0,1,0,64,0,0,0,2,1,32,0,0,0,1,1,1024,0,0,0,1,0.0528237452664,0.9851
1,32,0,0,0,2,0,16,0,0,0,2,1,8,0,0,0,1,1,1024,0,0,0,1,0.0386923669098,0.9877
1,32,0,0,0,0,1,64,0,0,0,0,1,32,0,0,0,1,1,128,0,0,0,3,0.0285439265565,0.9902
1,16,0,0,0,0,1,64,0,0,0,0,1,64,0,0,0,0,0,256,0,0,0,3,0.0376291030168,0.9888
1,32,0,0,0,0,0,16,0,0,0,2,1,32,0,0,0,1,1,1024,0,0,0,1,0.0388363813197,0.9898
1,32,0,0,0,2,0,16,0,0,0,2,1,32,0,0,0,1,1,1024,0,0,0,3,0.0321030883779,0.9886
1,32,0,0,0,2,1,32,0,0,0,2,1,64,0,0,0,0,0,256,0,0,0,3,0.0387074507696,0.9864
1,32,0,0,0,0,1,64,0,0,0,0,1,32,0,0,0,2,0,512,0,0,0,0,0.0370143171437,0.9882
1,32,0,0,0,1,0,64,0,0,0,2,1,64,0,0,0,0,0,256,0,0,0,2,0.0358184095102,0.9884
1,32,0,0,0,0,1,64,0,0,0,0,1,32,0,0,0,2,1,32,0,0,0,3,0.0346026795361,0.9882
1,32,0,0,0,0,1,64,0,0,0,0,1,32,0,0,0,1,1,1024,0,0,0,1,0.0589403728241,0.9847
1,16,0,0,0,0,1,64,0,0,0,0,1,32,0,0,0,1,1,128,0,0,0,3,0.0274964284036,0.9903
1,32,0,0,0,0,0,16,0,0,0,2,1,32,0,0,0,1,1,1024,0,0,0,1,0.0409046466951,0.9888
1,32,0,0,0,0,1,64,0,0,0,0,1,32,0,0,0,1,1,128,0,0,0,3,0.03092051013,0.9894
1,32,0,0,0,0,1,64,0,0,0,1,1,32,0,0,0,1,1,128,0,0,0,3,0.029249495077,0.9897
1,32,0,0,0,2,0,16,0,0,0,0,1,32,0,0,0,1,1,128,0,0,0,3,0.0345259492715,0.9884
1,32,0,0,0,0,0,16,0,0,0,2,1,32,0,0,0,1,1,1024,0,0,0,3,0.0276575106334,0.9909
1,16,0,0,0,0,1,64,0,0,0,0,1,64,0,0,0,0,0,256,0,0,0,1,0.0337472128792,0.9896
1,32,0,0,0,2,0,16,0,0,0,2,1,32,0,0,0,1,1,1024,0,0,0,3,0.0321194402955,0.9894
1,16,0,0,0,1,0,64,0,0,0,2,1,32,0,0,0,1,1,1024,0,0,0,1,0.0390506609327,0.9876
1,32,0,0,0,0,1,64,0,0,0,1,1,32,0,0,0,1,1,128,0,0,0,3,0.0337842585223,0.9889
