Conv0 active,Conv0 num filters,Conv0 batch normalization,Conv0 activation,Conv0 dropout,Conv0 max pooling,Conv1 active,Conv1 num filters,Conv1 batch normalization,Conv1 activation,Conv1 dropout,Conv1 max pooling,Conv2 active,Conv2 num filters,Conv2 batch normalization,Conv2 activation,Conv2 dropout,Conv2 max pooling,Conv3 active,Conv3 num filters,Conv3 batch normalization,Conv3 activation,Conv3 dropout,Conv3 max pooling,Conv4 active,Conv4 num filters,Conv4 batch normalization,Conv4 activation,Conv4 dropout,Conv4 max pooling,Conv5 active,Conv5 num filters,Conv5 batch normalization,Conv5 activation,Conv5 dropout,Conv5 max pooling,Dense0 active,Dense0 num nodes,Dense0 batch normalization,Dense0 activation,Dense0 dropout,Dense1 active,Dense1 num nodes,Dense1 batch normalization,Dense1 activation,Dense1 dropout,Optimizer,Val Loss,Val Accuracy
1,64,0,0,0,0,1,8,1,0,0,2,0,8,0,0,4,1,0,64,0,0,2,2,1,8,1,0,2,0,0,32,1,0,9,1,1,256,1,0,10,0,1024,0,0,0,1,1.43263317013,0.6262
1,8,0,0,9,1,1,16,0,0,7,1,1,64,1,0,8,2,0,32,0,0,9,1,1,64,0,0,3,2,0,64,0,0,2,0,0,1024,1,0,10,0,1024,0,0,10,1,2.06216811562,0.3596
1,64,1,0,5,1,1,64,1,0,10,1,1,8,0,0,6,0,1,16,1,0,4,0,1,16,0,0,0,1,0,8,1,0,10,1,0,16,1,0,9,1,1024,1,0,8,2,2.14684402046,0.3252
1,64,1,0,9,0,1,16,1,0,4,0,1,64,0,0,4,0,0,64,1,0,5,2,1,64,0,0,1,0,1,32,1,0,5,2,1,512,0,0,1,0,128,1,0,1,2,14.5062856628,0.1
1,64,1,0,8,2,1,8,1,0,10,1,0,16,1,0,9,1,0,32,1,0,10,2,0,32,0,0,2,0,0,8,0,0,7,0,1,512,0,0,7,1,32,0,0,6,2,1.44913442459,0.5387
1,8,1,0,9,0,1,32,1,0,1,2,1,64,1,0,2,0,0,8,0,0,1,0,1,32,1,0,8,0,0,8,0,0,2,2,1,64,1,0,10,1,1024,0,0,10,1,1.74053633938,0.5676
1,16,0,0,6,0,1,8,0,0,9,2,1,64,1,0,7,0,1,16,0,0,0,2,1,64,1,0,5,2,1,64,1,0,4,2,1,512,1,0,6,1,128,1,0,1,1,1.9205720211,0.5837
1,64,0,0,8,2,0,16,0,0,7,1,0,16,1,0,6,2,1,16,1,0,3,0,1,16,1,0,4,1,1,8,1,0,4,2,1,32,1,0,1,0,1024,1,0,2,1,0.935553613758,0.6674
1,16,0,0,5,0,0,8,1,0,4,1,1,8,0,0,1,2,1,8,1,0,10,1,0,8,1,0,10,2,1,64,0,0,9,1,1,512,1,0,7,1,16,1,0,3,1,3.84945443382,0.1118
1,32,1,0,7,2,0,64,0,0,5,1,0,64,0,0,5,2,1,16,1,0,2,2,1,32,0,0,10,0,1,64,0,0,3,1,0,32,1,0,1,0,64,1,0,5,1,1.05716681976,0.6563
1,32,0,0,0,1,0,16,0,0,2,1,1,32,0,0,5,0,1,16,0,0,1,1,1,16,1,0,6,2,0,64,1,0,1,2,1,16,1,0,9,0,64,0,0,8,0,1.11730661221,0.6119
1,16,0,0,6,2,1,32,1,0,2,0,1,8,0,0,10,1,1,64,0,0,4,1,0,64,1,0,3,1,1,16,1,0,2,1,1,16,0,0,4,0,16,0,0,5,2,3.69321929626,0.1002
1,64,1,0,6,1,0,64,0,0,1,2,0,8,0,0,7,2,1,8,0,0,10,0,0,16,0,0,2,1,0,16,1,0,4,0,0,16,0,0,5,0,512,1,0,4,1,1.69421019859,0.3954
1,64,1,0,8,2,1,8,0,0,9,0,0,16,0,0,3,1,0,32,0,0,1,0,0,16,1,0,8,2,1,8,1,0,10,1,1,512,0,0,6,0,16,0,0,6,0,1.15852696972,0.6069
1,64,1,0,0,1,0,64,0,0,7,2,0,16,1,0,8,0,0,16,0,0,9,1,0,8,1,0,3,2,1,64,1,0,4,1,0,32,0,0,1,1,128,1,0,4,3,1.56709156914,0.4542
1,16,0,0,6,0,0,8,1,0,2,2,1,8,0,0,0,1,0,64,0,0,7,2,1,8,0,0,0,1,0,64,1,0,5,2,1,1024,1,0,5,0,32,0,0,7,1,1.14254121332,0.6242
1,16,1,0,2,2,0,8,1,0,10,1,1,8,0,0,9,0,0,8,0,0,2,2,1,32,0,0,7,1,1,32,0,0,1,1,1,256,1,0,1,0,1024,0,0,2,0,1.37045516758,0.5826
1,64,1,0,7,0,1,8,0,0,1,1,1,32,1,0,10,2,1,32,1,0,3,0,0,32,1,0,8,1,1,16,0,0,8,1,1,128,1,0,2,1,512,0,0,8,0,0.946360935783,0.6749
1,16,0,0,3,0,1,16,1,0,8,2,0,64,1,0,3,1,0,16,1,0,7,1,1,8,1,0,10,2,1,8,1,0,7,1,0,1024,0,0,5,1,256,1,0,1,3,2.81768963356,0.1582
1,64,0,0,5,0,0,32,1,0,6,1,0,32,1,0,0,2,1,16,0,0,5,0,1,64,0,0,10,2,0,64,0,0,4,2,1,16,1,0,2,1,64,1,0,0,2,1.01629219723,0.6431
1,16,1,0,8,2,1,16,1,0,1,2,1,16,0,0,6,0,0,8,1,0,7,1,1,64,0,0,10,1,0,32,1,0,8,0,1,32,0,0,4,1,1024,1,0,6,2,1.48955784283,0.493
1,16,0,0,2,2,0,64,1,0,4,0,1,32,0,0,7,1,0,8,0,0,10,0,1,64,0,0,10,2,1,32,0,0,6,1,0,32,0,0,4,1,1024,0,0,4,1,1.01434004917,0.6653
1,32,0,0,5,0,0,64,0,0,9,2,1,32,0,0,8,0,0,32,0,0,2,2,0,8,0,0,7,1,1,16,1,0,7,1,0,512,1,0,6,1,32,1,0,10,2,2.03512671432,0.2642
1,64,1,0,9,1,1,32,1,0,1,0,0,32,1,0,10,2,1,32,0,0,6,1,1,8,0,0,6,2,1,64,0,0,0,2,0,16,0,0,10,1,32,1,0,10,2,1.71350326805,0.3998
1,64,1,0,0,1,0,64,0,0,7,1,0,16,1,0,6,2,1,16,1,0,3,0,1,16,1,0,4,1,1,8,1,0,4,2,1,32,1,0,1,0,1024,1,0,2,1,1.70124619007,0.4351
1,16,1,0,5,1,0,16,0,0,7,1,1,64,1,0,8,1,0,64,0,0,10,0,0,16,1,0,7,1,1,8,1,0,9,0,0,64,0,0,6,1,64,1,0,3,1,1.56412566395,0.4206
1,16,0,0,6,0,1,8,0,0,9,2,1,32,1,0,7,0,1,16,0,0,0,2,1,64,1,0,3,2,1,64,1,0,4,2,1,512,1,0,9,0,512,1,0,0,3,1.55724269562,0.6105
1,16,0,0,2,1,0,16,1,0,10,1,1,8,0,0,9,0,0,8,0,0,2,2,1,32,0,0,7,1,1,32,0,0,1,1,1,256,1,0,1,0,1024,0,0,2,0,2.39815897827,0.2912
1,16,0,0,6,1,1,32,0,0,5,1,1,8,1,0,8,1,1,8,1,0,0,0,0,64,1,0,10,1,0,32,1,0,5,0,0,16,1,0,3,0,64,0,0,6,3,1.62435033073,0.3631
1,16,0,0,8,2,0,8,1,0,10,0,0,32,0,0,8,1,1,8,0,0,8,0,1,64,1,0,7,2,1,32,0,0,5,1,0,32,1,0,9,0,512,1,0,0,3,1.04002011433,0.6331
1,32,0,0,0,1,0,64,0,0,4,0,0,16,0,0,1,2,1,32,0,0,1,0,0,64,1,0,7,2,1,8,1,0,7,1,1,64,1,0,1,0,64,0,0,4,0,1.28704818668,0.5673
1,64,1,0,6,1,0,64,0,0,1,2,0,8,0,0,7,2,1,8,0,0,10,0,0,16,0,0,1,2,0,8,1,0,7,2,1,1024,1,0,2,1,256,1,0,10,1,1.33055242786,0.5388
1,16,0,0,4,0,1,32,0,0,4,2,1,8,1,0,9,0,0,8,1,0,9,1,1,64,1,0,1,2,0,8,1,0,7,2,1,1024,1,0,2,1,256,1,0,10,1,0.877600241089,0.7052
1,64,1,0,0,1,0,64,0,0,7,2,0,16,1,0,8,0,0,16,0,0,9,1,0,8,0,0,6,2,1,64,0,0,0,2,0,16,0,0,10,1,32,1,0,10,2,0.897344121456,0.6808
1,16,0,0,2,1,0,16,1,0,10,2,0,16,1,0,1,0,0,32,0,0,5,1,1,32,0,0,0,0,0,32,1,0,5,0,0,256,0,0,7,1,64,0,0,3,2,0.993844988728,0.6474
1,64,1,0,6,1,0,64,0,0,1,2,0,8,0,0,7,2,1,64,0,0,10,0,0,16,0,0,2,1,0,16,1,0,2,2,1,64,1,0,10,1,1024,0,0,10,1,1.80055327168,0.3612
1,64,1,0,8,2,1,8,1,0,10,1,0,16,1,0,9,1,0,32,1,0,10,2,0,32,0,0,2,0,0,8,0,0,7,0,1,512,0,0,7,1,1024,0,0,4,1,1.67985089073,0.515
1,32,0,0,0,1,0,16,0,0,2,1,1,32,0,0,5,0,1,16,0,0,1,1,1,16,1,0,6,2,0,64,1,0,1,2,1,1024,1,0,2,1,256,1,0,10,1,1.62851762466,0.5127
1,16,0,0,10,1,1,32,0,0,0,1,1,8,1,0,6,2,0,32,0,0,5,1,1,32,0,0,0,0,0,32,1,0,5,0,0,256,0,0,7,1,64,0,0,3,2,1.69919226532,0.4136
1,32,0,0,7,2,1,16,0,0,2,0,0,64,1,0,0,2,1,16,0,0,9,1,1,64,0,0,1,2,0,8,1,0,7,2,1,1024,1,0,2,1,256,1,0,10,1,5.85983784485,0.2307
1,64,1,0,0,1,0,64,0,0,7,2,0,16,1,0,8,0,0,16,0,0,9,1,0,8,1,0,3,2,1,64,1,0,4,1,0,32,1,0,7,0,128,0,0,0,0,0.810380254173,0.7274
1,64,0,0,5,0,0,8,0,0,6,2,1,32,1,0,2,1,1,8,0,0,7,0,0,16,1,0,8,1,0,16,0,0,9,1,1,16,1,0,2,1,64,1,0,0,2,1.00231247978,0.645
1,32,0,0,5,0,0,64,0,0,9,2,1,32,0,0,3,1,0,32,0,0,1,0,0,16,1,0,8,2,1,8,1,0,10,1,1,512,0,0,6,0,16,0,0,6,0,0.959683485699,0.7049
1,32,0,0,0,1,1,32,0,0,0,2,0,8,0,0,4,1,0,64,0,0,2,2,1,8,1,0,2,0,0,32,1,0,9,1,1,256,1,0,10,0,1024,0,0,0,1,2.55259802856,0.5114
1,64,0,0,9,1,1,32,0,0,1,0,0,32,1,0,10,2,1,32,0,0,6,1,1,8,0,0,6,2,1,8,0,0,0,2,0,16,0,0,10,1,32,1,0,10,2,2.22449687576,0.1887
1,64,0,0,5,0,0,16,0,0,8,0,1,8,1,0,1,2,0,8,1,0,2,1,1,32,0,0,4,2,0,8,1,0,7,1,1,64,1,0,1,0,64,0,0,4,0,1.16608804398,0.6155
1,8,1,0,8,2,0,8,0,0,5,2,1,8,1,0,5,0,1,8,0,0,10,0,0,16,0,0,7,2,1,32,0,0,5,1,0,32,1,0,9,0,512,1,0,0,3,1.30377649422,0.5654
1,64,0,0,8,2,0,16,1,0,0,0,0,32,1,0,7,2,0,64,0,0,0,0,1,8,1,0,10,1,0,16,0,0,5,1,1,128,0,0,2,1,64,1,0,2,3,1.01712550335,0.6558
1,8,0,0,10,1,0,8,1,0,2,2,1,32,1,0,7,1,0,8,0,0,10,0,1,64,0,0,10,2,1,32,0,0,6,1,0,32,0,0,4,1,1024,0,0,4,1,1.88227037964,0.2866
1,16,1,0,2,0,0,16,0,0,1,1,1,16,1,0,1,0,0,32,0,0,10,2,0,32,1,0,8,2,1,16,1,0,1,0,0,16,0,0,9,0,32,1,0,4,1,1.09405968227,0.6355
1,32,1,0,8,0,0,64,0,0,8,0,1,8,1,0,1,2,0,64,0,0,0,0,1,8,1,0,10,1,0,16,0,0,5,1,1,512,0,0,2,1,64,1,0,2,3,1.33960770855,0.5222
1,16,0,0,2,2,0,64,1,0,4,0,1,32,0,0,7,1,0,8,0,0,10,0,1,64,0,0,10,2,1,32,0,0,6,1,0,32,0,0,4,1,32,0,0,7,0,0.977757958603,0.6866
1,64,1,0,5,1,1,64,1,0,10,1,1,8,0,0,6,0,1,16,1,0,4,0,1,16,0,0,7,1,1,32,0,0,1,1,0,256,1,0,1,0,1024,0,0,2,0,1.68562634659,0.4002
1,64,1,0,8,2,1,8,0,0,8,0,0,16,0,0,6,2,1,16,1,0,3,0,1,16,1,0,4,1,1,8,1,0,4,2,1,32,1,0,1,0,1024,1,0,2,1,1.17377826357,0.5936
1,16,0,0,6,0,1,8,0,0,9,2,1,64,1,0,7,0,1,16,0,0,10,2,0,32,1,0,8,2,1,16,1,0,1,0,0,16,0,0,9,0,32,1,0,4,1,1.15179218788,0.5951
1,64,1,0,8,2,1,8,0,0,9,0,0,16,0,0,3,1,0,32,0,0,1,0,0,16,1,0,8,2,1,8,1,0,10,1,1,1024,0,0,0,0,16,0,0,2,3,0.995214583015,0.6593
1,64,0,0,5,0,0,32,1,0,6,1,0,32,1,0,0,2,1,16,0,0,5,0,1,64,0,0,10,2,0,64,0,0,4,2,1,16,1,0,2,1,64,1,0,0,2,1.09044599991,0.6214
1,16,1,0,2,0,0,16,0,0,1,1,1,64,1,0,4,1,0,16,0,0,2,2,1,32,1,0,8,0,0,16,0,0,2,1,0,32,1,0,7,0,128,0,0,0,0,0.842423071861,0.7083
1,32,0,0,5,0,0,64,0,0,9,2,1,32,0,0,8,0,0,32,0,0,2,2,0,8,0,0,7,1,1,16,1,0,7,1,0,512,1,0,6,1,512,0,0,2,1,12.5479742859,0.1
1,64,1,0,8,2,1,8,0,0,9,0,0,16,0,0,3,1,0,32,0,0,1,0,0,16,1,0,8,2,1,8,1,0,10,0,1,512,0,0,7,1,32,0,0,6,2,2.30258505707,0.1
1,64,1,0,8,2,0,16,0,0,7,1,0,16,1,0,6,2,1,16,1,0,3,0,1,16,1,0,4,1,1,8,1,0,4,2,1,32,1,0,1,0,1024,1,0,2,1,1.19690562229,0.5782
1,8,1,0,9,0,0,8,0,0,1,2,1,16,0,0,2,0,0,16,1,0,0,0,0,8,0,0,3,2,1,8,1,0,2,2,1,16,1,0,9,0,64,0,0,8,0,1.53057280178,0.4456
1,8,1,0,7,1,1,16,0,0,2,1,0,64,1,0,5,2,1,16,1,0,2,2,1,32,0,0,10,0,1,64,0,0,3,1,0,32,1,0,1,0,64,1,0,5,1,1.52225536194,0.4834
1,16,1,0,2,0,0,32,0,0,5,1,1,64,1,0,8,1,1,8,1,0,0,0,0,64,1,0,10,1,0,32,1,0,5,0,0,16,1,0,3,0,64,0,0,6,3,1.01646818008,0.6452
1,16,0,0,4,0,1,32,0,0,4,2,1,8,1,0,8,1,1,8,0,0,8,0,0,64,1,0,9,2,1,8,1,0,0,2,1,512,1,0,0,0,1024,0,0,1,1,1.22990118961,0.5981
1,64,0,0,5,0,0,8,0,0,6,2,1,32,1,0,2,1,1,8,0,0,7,0,0,16,1,0,8,1,1,32,0,0,1,1,1,256,1,0,1,0,1024,0,0,2,0,1.89280552635,0.4292
1,8,1,0,9,0,0,8,0,0,1,2,1,32,0,0,8,0,0,32,0,0,2,2,0,8,0,0,7,1,1,16,1,0,7,1,0,512,1,0,6,1,32,1,0,10,2,2.08014621677,0.3342
1,32,1,0,7,2,0,64,0,0,5,1,0,64,0,0,5,2,1,16,1,0,2,2,1,32,0,0,10,0,1,64,0,0,3,1,0,32,1,0,1,0,64,1,0,5,1,1.10815935993,0.6153
1,64,1,0,9,1,1,32,1,0,1,0,0,32,1,0,10,2,1,32,0,0,6,1,1,8,0,0,6,2,1,64,0,0,0,2,0,16,0,0,5,1,256,1,0,1,3,1.75147501831,0.4114
1,64,1,0,0,1,0,64,0,0,7,1,0,16,1,0,9,1,0,32,1,0,10,2,0,32,0,0,2,0,0,8,0,0,7,0,1,512,0,0,7,1,32,0,0,6,2,2.30258523941,0.1
1,64,1,0,7,0,1,8,0,0,1,1,1,32,1,0,10,2,1,32,1,0,3,0,0,32,1,0,8,1,1,16,0,0,8,1,1,128,1,0,2,1,512,0,0,8,0,1.79780486107,0.4274
1,32,0,0,0,1,0,64,0,0,4,0,0,16,0,0,1,2,1,32,0,0,1,0,0,64,1,0,7,2,1,32,0,0,7,1,0,32,1,0,9,0,512,1,0,0,3,0.904298892784,0.6943
1,32,0,0,7,2,1,16,0,0,2,0,0,64,1,0,0,2,1,64,1,0,9,1,1,64,0,0,1,2,0,8,1,0,7,2,1,1024,1,0,2,1,256,1,0,10,1,1.30523147373,0.6374
1,8,1,0,4,1,0,8,1,0,0,0,0,8,1,0,7,2,0,16,0,0,9,2,0,32,1,0,5,2,1,8,1,0,9,2,1,1024,0,0,6,1,512,0,0,2,2,14.5062856964,0.1
1,32,0,0,5,0,0,64,0,0,9,2,1,32,0,0,3,1,0,32,0,0,1,0,0,16,1,0,8,2,1,8,1,0,10,2,1,512,0,0,6,0,16,0,0,6,0,0.901084305573,0.6884
1,64,1,0,6,1,0,64,0,0,1,2,0,8,0,0,7,2,1,8,0,0,10,0,0,16,0,0,1,2,0,8,1,0,7,2,1,1024,1,0,2,1,256,1,0,10,1,2.1507971035,0.2976
1,16,0,0,10,1,1,32,0,0,0,1,1,8,1,0,6,2,0,32,0,0,5,1,1,32,0,0,0,0,0,32,1,0,5,0,0,256,0,0,7,1,64,0,0,6,3,1.38480843334,0.5009
1,16,0,0,7,0,1,8,0,0,1,1,1,32,1,0,10,2,1,32,1,0,3,0,0,32,1,0,8,1,1,16,0,0,8,1,1,128,1,0,2,1,512,0,0,8,0,1.29349969139,0.5609
1,64,0,0,8,2,0,16,1,0,0,0,0,32,1,0,7,2,0,64,0,0,0,0,1,8,1,0,10,1,0,16,0,0,5,1,1,128,0,0,2,1,64,1,0,2,3,1.07249901733,0.6293
1,16,0,0,2,1,0,16,1,0,10,2,0,16,1,0,1,0,1,16,0,0,10,2,0,32,1,0,8,2,1,16,1,0,1,0,0,16,0,0,9,0,32,1,0,4,1,1.0347852562,0.6433
1,64,1,0,8,2,1,8,0,0,9,0,0,16,0,0,3,1,0,32,0,0,1,1,0,8,1,0,3,2,1,64,1,0,4,1,0,32,1,0,7,0,128,0,0,0,3,1.45068196239,0.4965
1,16,0,0,6,1,0,64,0,0,4,0,0,16,0,0,1,2,1,32,0,0,1,0,0,64,1,0,7,2,1,8,1,0,7,1,1,64,1,0,1,0,64,0,0,4,0,1.63029403572,0.4424
1,32,1,0,7,2,0,64,0,0,5,1,0,64,0,0,5,2,1,16,1,0,0,0,0,64,1,0,10,1,0,32,1,0,5,0,0,16,1,0,3,0,64,0,0,6,3,1.10137865543,0.6247
1,64,1,0,8,2,1,8,0,0,9,0,0,16,0,0,3,1,0,32,0,0,1,0,0,16,1,0,8,2,1,8,1,0,10,1,1,64,1,0,1,0,64,0,0,4,0,2.59840118027,0.3094
1,64,1,0,0,1,0,64,0,0,7,2,0,16,1,0,8,0,0,16,0,0,9,1,0,8,1,0,3,2,1,64,1,0,4,0,0,32,1,0,7,0,128,0,0,0,0,1.01580489674,0.6887
1,64,0,0,5,0,0,16,0,0,8,0,1,8,1,0,1,2,0,8,1,0,2,1,1,32,0,0,2,1,0,16,1,0,2,2,1,64,1,0,10,1,1024,0,0,10,1,1.17567963085,0.6288
1,32,0,0,0,1,0,16,0,0,5,1,0,64,0,0,5,2,1,16,1,0,2,2,1,32,0,0,10,0,1,64,0,0,3,1,0,32,1,0,1,0,64,1,0,5,1,0.972412054634,0.6691
1,16,0,0,2,2,0,64,1,0,4,0,1,32,0,0,7,1,0,8,0,0,10,0,1,64,0,0,10,2,0,8,1,0,7,2,1,1024,1,0,2,1,256,1,0,10,1,0.989441796875,0.6541
1,8,1,0,7,1,1,16,0,0,2,1,0,64,1,0,5,2,1,16,1,0,2,2,1,32,0,0,10,0,1,64,0,0,3,1,0,32,1,0,1,0,256,1,0,1,3,1.26841965141,0.5569
1,16,1,0,5,1,0,16,0,0,7,1,1,64,1,0,8,1,0,64,0,0,10,0,0,16,1,0,7,1,0,8,1,0,7,2,1,1024,1,0,2,1,256,1,0,10,1,1.98517602768,0.3294
1,64,0,0,5,0,0,8,0,0,6,2,1,32,1,0,2,1,1,8,0,0,10,2,0,32,1,0,8,2,1,16,1,0,1,0,0,16,0,0,9,0,32,1,0,4,1,1.08073934498,0.6266
1,32,1,0,8,0,0,64,0,0,8,0,1,8,0,0,1,2,0,64,0,0,0,0,0,32,1,0,8,1,1,16,0,0,8,1,1,128,1,0,2,1,512,0,0,8,0,1.17463063183,0.6067
1,64,0,0,5,0,0,8,0,0,6,2,1,32,1,0,2,1,1,8,0,0,7,0,0,16,1,0,8,1,0,16,0,0,9,1,1,16,0,0,10,1,32,1,0,10,2,1.56117671776,0.4313
